Date,Vaccine,Dose,Cumul
2021-11-24,AZ,완료,9230639 
2021-11-25,AZ,완료,9231353 
2021-11-26,AZ,완료,9232311 
2021-11-27,AZ,완료,9232426 
2021-11-28,AZ,완료,9232479 
2021-11-29,AZ,완료,9233018 
2021-11-30,AZ,완료,9233729 
2021-12-01,AZ,완료,9234364 
2021-12-02,AZ,완료,9234847 
2021-12-03,AZ,완료,9235241 
2021-12-04,AZ,완료,9235269 
2021-12-05,AZ,완료,9235272 
2021-12-06,AZ,완료,9235371 
2021-12-07,AZ,완료,9235477 
2021-12-08,AZ,완료,9235578 
2021-12-09,AZ,완료,9235711 
2021-12-10,AZ,완료,9235926 
2021-12-11,AZ,완료,9235951 
2021-12-12,AZ,완료,9235955 
2021-12-13,AZ,완료,9236136 
2021-12-14,AZ,완료,9236204 
2021-12-15,AZ,완료,9236319 
2021-12-16,AZ,완료,9236456 
2021-12-17,AZ,완료,9236614 
2021-12-18,AZ,완료,9236642 
2021-12-19,AZ,완료,9236645 
2021-12-20,AZ,완료,9236731 
2021-12-21,AZ,완료,9236784 
2021-12-22,AZ,완료,9236910 
2021-12-23,AZ,완료,9237069 
2021-12-24,AZ,완료,9237135 
2021-12-25,AZ,완료,9237138 
2021-12-26,AZ,완료,9237139 
2021-12-27,AZ,완료,9237230 
2021-12-28,AZ,완료,9237287 
2021-12-29,AZ,완료,9237336 
2021-12-30,AZ,완료,9237399 
2021-12-31,AZ,완료,9237432 
2022-01-01,AZ,완료,9237432 
2022-01-02,AZ,완료,9237432 
2022-01-03,AZ,완료,9237434 
2022-01-04,AZ,완료,9237436 
2022-01-05,AZ,완료,9237437 
2022-01-06,AZ,완료,9237439 
2022-01-07,AZ,완료,9237443 
2022-01-08,AZ,완료,9237445 
2022-01-09,AZ,완료,9237445 
2022-01-10,AZ,완료,9237445 
2022-01-11,AZ,완료,9237447 
2022-01-12,AZ,완료,9237448 
2022-01-13,AZ,완료,9237449 
2022-01-14,AZ,완료,9237453 
2022-01-15,AZ,완료,9237453 
2022-01-16,AZ,완료,9237453 
2022-01-17,AZ,완료,9237453 
2022-01-18,AZ,완료,9237454 
2022-01-19,AZ,완료,9237454 
2022-01-20,AZ,완료,9237456 
2022-01-21,AZ,완료,9237457 
2022-01-22,AZ,완료,9237457 
2022-01-23,AZ,완료,9237457 
2022-01-24,AZ,완료,9237458 
2022-01-25,AZ,완료,9237460 
2022-01-26,AZ,완료,9237460 
2022-01-27,AZ,완료,9237460 
2022-01-28,AZ,완료,9237460 
2022-01-29,AZ,완료,9237460 
2022-01-30,AZ,완료,9237460 
2022-01-31,AZ,완료,9237460 
2022-02-01,AZ,완료,9237460 
2022-02-02,AZ,완료,9237460 
2022-02-03,AZ,완료,9237460 
2022-02-04,AZ,완료,9237460 
2022-02-05,AZ,완료,9237460 
2022-02-06,AZ,완료,9237460 
2022-02-07,AZ,완료,9237461 
2022-02-08,AZ,완료,9237461 
2022-02-09,AZ,완료,9237461 
2022-02-10,AZ,완료,9237461 
2022-02-11,AZ,완료,9237461 
2022-02-12,AZ,완료,9237461 
2022-02-13,AZ,완료,9237461 
2022-02-14,AZ,완료,9237461 
2022-02-15,AZ,완료,9237461 
2022-02-16,AZ,완료,9237461 
2022-02-17,AZ,완료,9237461 
2021-10-31,PF,1차,22038959 
2021-11-01,PF,1차,22110920 
2021-11-02,PF,1차,22145049 
2021-11-03,PF,1차,22202802 
2021-11-04,PF,1차,22256465 
2021-11-05,PF,1차,22318808 
2021-11-06,PF,1차,22360572 
2021-11-07,PF,1차,22362416 
2021-11-08,PF,1차,22468995 
2021-11-09,PF,1차,22507279 
2021-11-10,PF,1차,22569849 
2021-11-11,PF,1차,22627739 
2021-11-12,PF,1차,22698711 
2021-11-13,PF,1차,22750874 
2021-11-14,PF,1차,22752636 
2021-11-15,PF,1차,22807785 
2021-11-16,PF,1차,22836021 
2021-11-17,PF,1차,22877256 
2021-11-18,PF,1차,22919327 
2021-11-19,PF,1차,22965109 
2021-11-20,PF,1차,22990531 
2021-11-21,PF,1차,22991789 
2021-11-22,PF,1차,23037332 
2021-11-23,PF,1차,23063037 
2021-11-24,PF,1차,23107378 
2021-11-25,PF,1차,23153204 
2021-11-26,PF,1차,23205867 
2021-11-27,PF,1차,23237043 
2021-11-28,PF,1차,23237941 
2021-11-29,PF,1차,23265963 
2021-11-30,PF,1차,23285016 
2021-12-01,PF,1차,23307130 
2021-12-02,PF,1차,23328005 
2021-12-03,PF,1차,23358681 
2021-12-04,PF,1차,23378359 
2021-12-05,PF,1차,23379863 
2021-12-06,PF,1차,23427077 
2021-12-07,PF,1차,23461178 
2021-12-08,PF,1차,23503495 
2021-12-09,PF,1차,23545827 
2021-12-10,PF,1차,23593501 
2021-12-11,PF,1차,23617872 
2021-12-12,PF,1차,23619782 
2021-12-13,PF,1차,23690315 
2021-12-14,PF,1차,23740694 
2021-12-15,PF,1차,23825258 
2021-12-16,PF,1차,23919892 
2021-12-17,PF,1차,24023379 
2021-12-18,PF,1차,24090663 
2021-12-19,PF,1차,24096533 
2021-12-20,PF,1차,24214523 
2021-12-21,PF,1차,24287069 
2021-12-22,PF,1차,24376259 
2021-12-23,PF,1차,24455459 
2021-12-24,PF,1차,24533325 
2021-12-25,PF,1차,24543373 
2021-12-26,PF,1차,24546832 
2021-12-27,PF,1차,24621848 
2021-12-28,PF,1차,24667115 
2021-12-29,PF,1차,24715785 
2021-12-30,PF,1차,24762303 
2021-12-31,PF,1차,24815001 
2022-01-01,PF,1차,24819095 
2022-01-02,PF,1차,24821130 
2022-01-03,PF,1차,24859802 
2022-01-04,PF,1차,24885451 
2022-01-05,PF,1차,24905596 
2022-01-06,PF,1차,24924598 
2022-01-07,PF,1차,24949751 
2022-01-08,PF,1차,24965504 
2022-01-09,PF,1차,24966542 
2022-01-10,PF,1차,24990526 
2022-01-11,PF,1차,25010052 
2022-01-12,PF,1차,25025869 
2022-01-13,PF,1차,25041507 
2022-01-14,PF,1차,25063446 
2022-01-15,PF,1차,25076223 
2022-01-16,PF,1차,25076970 
2022-01-17,PF,1차,25092499 
2022-01-18,PF,1차,25104292 
2022-01-19,PF,1차,25114109 
2022-01-20,PF,1차,25124278 
2022-01-21,PF,1차,25139199 
2022-01-22,PF,1차,25148405 
2022-01-23,PF,1차,25148989 
2022-01-24,PF,1차,25160396 
2022-01-25,PF,1차,25169310 
2022-01-26,PF,1차,25177623 
2022-01-27,PF,1차,25186484 
2022-01-28,PF,1차,25199444 
2022-01-29,PF,1차,25207376 
2022-01-30,PF,1차,25208016 
2022-01-31,PF,1차,25208582 
2022-02-01,PF,1차,25208660 
2022-02-02,PF,1차,25209141 
2022-02-03,PF,1차,25221226 
2022-02-04,PF,1차,25233391 
2022-02-05,PF,1차,25240487 
2022-02-06,PF,1차,25240927 
2022-02-07,PF,1차,25248816 
2022-02-08,PF,1차,25254446 
2022-02-09,PF,1차,25259459 
2022-02-10,PF,1차,25265200 
2022-02-11,PF,1차,25273333 
2022-02-12,PF,1차,25278963 
2022-02-13,PF,1차,25279318 
2022-02-14,PF,1차,25285273 
2022-02-15,PF,1차,25289907 
2022-02-16,PF,1차,25293843 
2022-02-17,PF,1차,25297747 
2021-10-31,PF,완료,22559515 
2021-11-01,PF,완료,22610552 
2021-11-02,PF,완료,22646524 
